source_dataset,station_id,latitude,longitude,height,topo_free_disturbance,G_ref
AP,TENE078,28.3553,-16.7835,668.6760499144746,247.2084757024474,247.2084757024474
AP,TENE079,28.2609,-16.7699,1356.478207973938,259.44955515223563,259.44955515223563
AP,TENE080,28.2846,-16.7609,1510.9509554973145,257.6933377214279,257.6933377214279
AP,TENE081,28.3161,-16.7587,1327.4173008451237,252.1696641637708,252.1696641637708
AP,TENE082,28.3356,-16.759,1033.2645478894042,247.8622178817023,247.8622178817023
AP,TENE083,28.2625,-16.7382,1727.4467092704774,263.4225693988641,263.4225693988641
AP,TENE084,28.3558,-16.7388,716.4662787851563,241.49922928832143,241.49922928832143
AP,TENE085,28.3408,-16.7312,1009.567359166504,244.4809369421037,244.4809369421037
AP,TENE086,28.2755,-16.7294,1843.3959392547608,261.3653199921298,261.3653199921298
AP,TENE087,28.2563,-16.7151,2009.5646590118408,268.5925184794374,268.5925184794374
AP,TENE088,28.3377,-16.7019,942.3840574184266,246.31809728099867,246.31809728099867
AP,TENE089,28.2385,-16.6982,2136.073199356079,278.70696600107505,278.70696600107505
AP,TENE090,28.3342,-16.6861,1004.421206638733,246.642257908492,246.642257908492
AP,TENE091,28.2143,-16.6784,2086.2494189300537,282.66683646734737,282.66683646734737
AP,TENE092,28.1894,-16.6661,2140.843603066437,278.9868663753718,278.9868663753718
AP,TENE093,28.1249,-16.6633,1168.521877494812,259.2552859860609,259.2552859860609
AP,TENE094,28.1341,-16.6507,1269.7343382339477,260.10166531279344,260.10166531279344
AP,TENE095,28.1293,-16.6561,1245.7255578536988,258.9068449572503,258.9068449572503
AP,TENE096,28.1057,-16.6428,823.3013191680908,252.51069593792005,252.51069593792005
AP,TENE097,28.1116,-16.6482,896.0423183441162,256.7098064629114,256.7098064629114
AP,TENE098,28.1132,-16.6589,979.470277885437,257.82974856808454,257.82974856808454
AP,TENE099,28.1418,-16.6538,1305.383078994751,263.0256276442325,263.0256276442325
AP,TENE100,28.1445,-16.6448,1365.3348592529296,262.46017184458924,262.46017184458924
AP,TENE101,28.1526,-16.6414,1427.9849196185912,264.7147145412556,264.7147145412556
AP,TENE102,28.1098,-16.6012,671.6440398406982,242.9432434022289,242.9432434022289
AP,TENE103,28.1038,-16.5964,581.9801076850586,238.8285158796848,238.8285158796848
AP,TENE104,28.1174,-16.6053,800.4341593209228,245.92344685202937,245.92344685202937
AP,TENE105,28.118,-16.5892,801.0402399597168,239.5706710835965,239.5706710835965
AP,TENE106,28.0796,-16.5413,229.690717684082,223.39613063626604,223.39613063626604
AP,TENE107,28.096,-16.5513,330.838105640564,227.64198166351372,227.64198166351372
AP,TENE108,28.1109,-16.545,389.5839756759644,229.5462839636656,229.5462839636656
AP,TENE109,28.1266,-16.5415,496.2597786026001,232.55502725946096,232.55502725946096
AP,TENE110,28.1373,-16.5934,986.3700760411988,248.63746969875544,248.63746969875544
AP,TENE111,28.1652,-16.6336,1641.4948003288573,269.26417161863907,269.26417161863907
AP,TENE112,28.1772,-16.6451,1792.393975855896,277.3424760471885,277.3424760471885
AP,TENE113,28.0571,-16.6104,193.1420988082885,233.7928907100104,233.7928907100104
AP,TENE114,28.0625,-16.6222,277.0107795791626,236.63468223063936,236.63468223063936
AP,TENE115,28.0753,-16.6167,339.01246951811214,240.30534062295604,240.30534062295604
AP,TENE116,28.0873,-16.6073,449.9631844379119,239.21647782296657,239.21647782296657
AP,TENE117,28.0885,-16.6271,571.565299079895,245.3191674147787,245.3191674147787
AP,TENE118,28.0903,-16.6389,639.5319355585174,250.82086855847768,250.82086855847768
AP,TENE119,28.0905,-16.6496,483.7459571582031,253.38760357607032,253.38760357607032
