latitude,longitude,gravity,height,disturbance,terrain_effect,topo_free_disturbance
24.0,-21.666666666666686,975809.725,10000.0,2.240509570809081,-231.52719703072967,233.76770660153875
24.0,-21.5,975809.025,10000.0,1.5405095708556473,-230.8163454664561,232.35685503731176
24.0,-21.333333333333343,975806.125,10000.0,-1.3594904291676357,-228.35758667856865,226.99809624940102
24.0,-21.166666666666686,975805.525,10000.0,-1.9594904291443527,-225.44326110659793,223.48377067745358
24.0,-21.0,975813.625,10000.0,6.140509570832364,-220.01930410302373,226.1598136738561
24.0,-20.833333333333343,975826.925,10000.0,19.44050957087893,-204.4832926470105,223.92380221788943
24.0,-20.666666666666686,975832.425,10000.0,24.94050957087893,-190.9444498076076,215.88495937848654
24.0,-20.5,975824.725,10000.0,17.24050957080908,-202.82802395813184,220.06853352894092
24.0,-20.333333333333343,975813.225,10000.0,5.740509570809081,-204.6234291913641,210.36393876217318
24.0,-20.166666666666686,975809.825,10000.0,2.340509570785798,-202.26023436269824,204.60074393348404
24.0,-20.0,975813.825,10000.0,6.340509570785798,-198.78507775813083,205.12558732891662
24.0,-19.833333333333343,975817.725,10000.0,10.240509570809081,-194.8896837469081,205.1301933177172
24.0,-19.666666666666686,975818.825,10000.0,11.340509570785798,-190.66905198448185,202.00956155526765
24.0,-19.5,975819.625,10000.0,12.140509570832364,-185.5198558750348,197.66036544586717
24.0,-19.333333333333343,975821.225,10000.0,13.740509570809081,-179.62918245316777,193.36969202397685
24.0,-19.166666666666686,975822.825,10000.0,15.340509570785798,-173.77162247008127,189.11213204086707
24.0,-19.0,975823.925,10000.0,16.44050957087893,-168.01685771071703,184.45736728159596
24.0,-18.833333333333343,975824.925,10000.0,17.44050957087893,-162.1309180085902,179.57142757946914
24.0,-18.666666666666686,975825.325,10000.0,17.840509570785798,-156.433303173355,174.2738127441408
24.0,-18.5,975824.725,10000.0,17.24050957080908,-150.9580975376681,168.19860710847718
24.0,-18.333333333333343,975823.425,10000.0,15.94050957087893,-145.02337188365627,160.9638814545352
24.0,-18.166666666666686,975821.525,10000.0,14.040509570855647,-138.98152297366065,153.0220325445163
24.0,-18.0,975818.825,10000.0,11.340509570785798,-132.68425743348547,144.02476700427127
24.0,-17.833333333333343,975816.125,10000.0,8.640509570832364,-125.00092452648731,133.6414340973197
24.0,-17.666666666666686,975815.425,10000.0,7.94050957087893,-115.18094840702521,123.12145797790414
24.0,-17.5,975816.825,10000.0,9.340509570785798,-101.9311768209548,111.2716863917406
24.0,-17.333333333333343,975818.325,10000.0,10.840509570785798,-89.05881115003478,99.89932072082058
24.0,-17.166666666666686,975820.025,10000.0,12.540509570855647,-75.66385814237358,88.20436771322923
24.0,-17.0,975825.725,10000.0,18.24050957080908,-58.115428737263464,76.35593830807255
24.0,-16.833333333333343,975836.825,10000.0,29.340509570785798,-38.28049172671007,67.62100129749587
24.0,-16.666666666666686,975847.325,10000.0,39.8405095707858,-20.19437484760456,60.03488441839036
24.0,-16.5,975849.225,10000.0,41.74050957080908,-13.469901370231048,55.21041094104013
24.0,-16.333333333333343,975842.425,10000.0,34.94050957087893,-10.286319622206953,45.226829193085884
24.0,-16.166666666666686,975833.525,10000.0,26.040509570855647,-8.06817815192311,34.108687722778754
24.0,-16.0,975827.325,10000.0,19.840509570785798,-6.298861276615021,26.13937084740082
24.0,-15.833333333333343,975823.225,10000.0,15.740509570809081,-4.566856398224233,20.307365969033313
24.0,-15.666666666666686,975820.725,10000.0,13.240509570809081,-1.9851658851410854,15.225675455950167
24.0,-15.5,975821.725,10000.0,14.240509570809081,1.2103460403452402,13.030163530463842
24.0,-15.333333333333343,975827.825,10000.0,20.340509570785798,4.238540081121621,16.101969489664178
24.0,-15.166666666666686,975837.225,10000.0,29.74050957080908,8.501856864497325,21.238652706311754
