,Unnamed: 0,Station ID,E(m),N(m),longitude,latitude,height_geoid,obsG,BO(mGal),Error(mGal),height_ell,gamma,G_disturbance,terrain_effect,topo_free_disturbance
125,125,TENE126,333991.94,3107674.44,-16.6896,28.0841,418.7,979317.256,240.964,0.009,464.3843876693114,979034.5704275675,282.6855724325869,29.873555753618973,252.81201667896795
126,126,TENE127,333972.71,3108554.66,-16.6899,28.0921,522.7,979298.359,243.846,0.007,568.5728674067535,979003.0171850258,295.3418149742065,39.10622372621275,256.23559124799374
127,127,TENE128,336238.04,3109411.1,-16.667,28.1001,605.0,979280.207,242.812,0.007,651.1610798039245,978978.1311856011,302.0758143989369,46.293935462056346,255.7818789368806
128,128,TENE129,335272.72,3109463.16,-16.6768,28.1004,640.3,979272.839,242.121,0.006,686.4326390021972,978967.2694151565,305.5695848435862,50.53276749022171,255.03681735336448
129,129,TENE130,334486.38,3108813.52,-16.6847,28.0945,566.3,979287.606,241.586,0.006,612.2600699091338,978989.7155128844,297.89048711559735,43.74268926514052,254.14779785045684
130,130,TENE131,334357.35,3110281.52,-16.6862,28.1077,709.2,979263.454,246.759,0.013,755.4583589269105,978946.5174220199,316.93657798017375,56.89160984233244,260.0449681378413
131,131,TENE132,335102.15,3110917.32,-16.6787,28.1135,831.8,979240.108,249.141,0.007,878.2244788620757,978909.0715690693,331.0364309307188,67.99529622582342,263.04113470489534
132,132,TENE133,339903.55,3111900.35,-16.63,28.123,1020.5,979191.195,237.789,0.006,1067.1647978210449,978851.488880949,339.7061190509703,86.93061019708001,252.7755088538903
133,133,TENE134,339306.91,3113558.52,-16.6363,28.1379,1211.2,979156.935,242.69,0.006,1258.1939782943723,978793.6726765002,363.26232349989004,104.66110237142388,258.60122112846614
134,134,TENE135,340370.88,3110552.04,-16.6251,28.1109,818.1,979230.317,235.268,0.01,864.4805882103119,978913.1171793238,317.1998206762364,67.87460577238804,249.32521490384838
