,Unnamed: 0,Island,Station ID,latitude,longitude,height_geoid,height_ell,Precision,obsG,gamma,G_disturbance,terrain_effect,topo_free_disturbance
48,48,Tenerife,938014,28.35388888888889,-16.426111111111112,739.1348,785.6662,0.05,979252.27,978955.7252282989,296.5447717010975,56.54520306969543,239.99956863140204
49,49,Tenerife,938015,28.3575,-16.426944444444445,793.5247,840.054,0.05,979240.59,978939.215758924,301.37424107594416,61.15944014254303,240.21480093340114
50,50,Tenerife,938016,28.35861111111112,-16.429722222222225,870.1231,916.6826,0.05,979224.72,978915.6556394063,309.06436059367843,68.17360944674581,240.89075114693262
51,51,Tenerife,938017,28.357222222222223,-16.434166666666666,930.9187,977.5377,,979212.94,978896.774373025,316.1656269748928,73.26872637785242,242.89690059704037
52,52,Tenerife,938019,28.363333333333333,-16.43166666666667,991.2501,1037.8145,0.05,979199.59,978878.6382454956,320.9517545043491,79.00571656720614,241.94603793714293
53,53,Tenerife,938020,28.36694444444445,-16.429722222222225,1034.9567,1081.4841,0.05,979189.63,978865.437643886,324.1923561140429,82.68196415302606,241.51039196101686
54,54,Tenerife,938021,28.37138888888889,-16.427500000000002,1104.3594,1150.8404,0.05,979174.06,978844.3755277843,329.68447221571114,87.86530493193447,241.81916728377666
55,55,Tenerife,938022,28.37861111111112,-16.425,1174.7008,1221.122,0.05,979159.1,978823.238473193,335.8615268069552,95.1975248328452,240.66400197411002
56,56,Tenerife,938023,28.37527777777778,-16.4325,1243.4571,1289.9719,0.05,979145.51,978801.746659473,343.7633405269589,101.39993500237708,242.36340552458185
57,57,Tenerife,938025,28.38083333333333,-16.428611111111113,1306.994,1353.4409,0.05,979130.02,978782.5867712547,347.43322874535806,105.792526431503,241.64070231385506
58,58,Tenerife,938026,28.383888888888887,-16.43166666666667,1376.5845,1423.0446,0.05,979115.3,978761.3462854103,353.95371458970476,112.85571853509173,241.09799605461302
59,59,Tenerife,938027,28.380277777777778,-16.43611111111111,1450.3657,1496.8864,0.05,979099.9,978738.2956563825,361.6043436175678,118.74861090831156,242.85573270925624
60,60,Tenerife,938028,28.378055555555555,-16.441111111111113,1518.7149,1565.2932,,979081.36,978717.0271743834,364.33282561658416,123.17371227320687,241.15911334337727
61,61,Tenerife,938030,28.379444444444445,-16.447222222222223,1601.3199,1647.9434,0.05,979066.02,978691.6388405876,374.3811594124418,131.75705564676608,242.6241037656757
62,62,Tenerife,938031,28.38611111111111,-16.449722222222224,1652.0019,1698.593,0.05,979052.9,978676.5201620131,376.37983798689675,134.72278274582118,241.65705524107557
63,63,Tenerife,938032,28.38833333333333,-16.448888888888888,1679.0767,1725.6402,0.05,979043.99,978668.3458133545,375.6441866455134,134.88499026385304,240.75919638166036
64,64,Tenerife,939001,28.308055555555555,-16.389722222222222,125.7641,171.7086,0.05,979373.55,979141.741965314,231.80803468602244,2.2830907662651008,229.52494391975733
65,65,Tenerife,939002,28.311666666666667,-16.39638888888889,173.8134,219.8792,0.05,979364.64,979127.1462599912,237.4937400087947,6.794191576307139,230.69954843248757
66,66,Tenerife,939003,28.31277777777778,-16.403888888888886,221.1426,267.3363,0.05,979356.53,979112.5826178661,243.94738213391975,10.725946960979275,233.22143517294046
67,67,Tenerife,939004,28.3125,-16.410555555555554,267.6167,313.9215,0.05,979346.8,979098.1836758358,248.61632416420616,14.007130695067604,234.60919346913855
68,68,Tenerife,942001,28.11694444444445,-16.58222222222222,704.6466,750.9131,0.05,979242.99,978948.6138117638,294.3761882361723,57.13141765483798,237.24477058133434
69,69,Tenerife,942002,28.11777777777778,-16.58888888888889,754.6965,801.0298,0.05,979234.63,978933.2118795961,301.4181204038905,61.59907718547984,239.81904321841066
70,70,Tenerife,942003,28.124166666666667,-16.589444444444442,795.302,841.7735,0.05,979227.74,978921.1195065576,306.6204934424022,65.66892986177722,240.95156358062502
71,71,Tenerife,942004,28.126944444444444,-16.595,837.2259,883.7957,,979222.32,978908.3618223683,313.9581776316045,69.44221493764293,244.51596269396157
72,72,Tenerife,942005,28.13,-16.597777777777775,857.9858,904.6398,,979220.33,978902.1597535282,318.1702464717673,71.03645898757037,247.13378748419694
73,73,Tenerife,942007,28.13305555555556,-16.600555555555555,894.352,941.0895,0.05,979214.46,978891.1427103872,323.31728961272165,73.63595381863615,249.6813357940855
74,74,Tenerife,942008,28.131666666666668,-16.60666666666667,937.1555,983.9001,0.05,979206.42,978877.8295326019,328.5904673981713,77.19407115349144,251.39639624467986
75,75,Tenerife,942009,28.131666666666668,-16.6125,982.5956,1029.3748,0.05,979198.87,978863.7989528251,335.0710471748607,81.85202927001305,253.21901790484768
76,76,Tenerife,942010,28.13277777777778,-16.61527777777778,1021.8641,1068.6838,0.05,979191.1,978851.7543911425,339.3456088574603,86.0715367201199,253.27407213734043
77,77,Tenerife,942011,28.1375,-16.614722222222223,1066.3782,1113.289,0.05,979183.3,978838.3472588819,344.95274111814797,88.96059789429766,255.9921432238503
78,78,Tenerife,942012,28.13777777777777,-16.61722222222222,1124.6079,1171.5379,0.05,979170.71,978820.3973908784,350.31260912155267,95.0157815190742,255.29682760247846
