,Unnamed: 0,Station Name,latitude,longitude,height,obsG,SD,Survey Date,gamma,G_disturbance,terrain_effect,topo_free_disturbance
37,37,GUI09,28.4112482,-16.34804163,535.9987,979291.89506,0.25392,2024/05/08,979037.1009736258,254.7940863741096,34.96153879665657,219.83254757745306
38,38,GUI10,28.40469649,-16.36276197,525.2677,979297.82453,0.24993,2024/05/08,979039.9174761912,257.9070538087981,33.30762523528912,224.59942857350896
39,39,GUI11,28.39123175,-16.39133992,674.3324,979269.27816,0.23201,2024/05/08,978992.8997939661,276.3783660338959,42.89619576420457,233.4821702696913
40,40,GUI12,28.36295599,-16.39382735,405.1177,979325.39292,0.24868,2024/05/08,979073.8447161388,251.54820386122447,21.951973484618865,229.5962303766056
41,41,GUI13,28.37273784,-16.40756124,761.7352,979252.47291,0.21093,2024/05/08,978964.5325764907,287.94033350935206,53.57119031697997,234.3691431923721
42,42,GUI14,28.34175567,-16.43676986,842.8352,979241.61587,0.1987,2024/05/08,978937.1693463539,304.44652364612557,60.46531612343806,243.9812075226875
43,43,GUI15,28.33499592,-16.4363083,818.9214,979246.06443,0.19244,2024/05/08,978944.0381555199,302.02627448004205,58.9109641334743,243.11531034656775
44,44,GUI17,28.33046276,-16.44813599,1078.7116,979193.80188,0.16113,2024/05/08,978863.5396987697,330.26218123035505,81.72773165004199,248.53444958031307
45,45,GUI18,28.32599541,-16.45814945,1391.9313,979126.78071,0.12319,2024/05/08,978766.5739454031,360.20676459698007,108.39004201284324,251.8167225841368
46,46,GUI19,28.32841012,-16.42687064,599.306,979290.18749,0.18833,2024/05/08,979011.3097740599,278.87771594012156,39.64575264651409,239.23196329360746
47,47,GUI20,28.30476937,-16.50154424,2380.9379,978903.50013,0.0708,2024/06/03,978459.9564081646,443.5437218353618,193.7939061757324,249.7498156596294
48,48,GUI21,28.3026526,-16.49293235,2301.9061,978917.24894,0.0800699999999999,2024/06/03,978484.1655637958,433.0833762042457,182.94037716618263,250.1429990380631
49,49,GUI22,28.29914265,-16.48964248,2188.9511,978945.71858,0.08237,2024/06/03,978518.7311869011,426.98739309888333,176.55346758696342,250.4339255119199
50,50,GUI23,28.29901841,-16.47440855,1948.0342,978992.06379,0.08344,2024/06/03,978593.0159759811,399.04781401879154,153.16169917427106,245.88611484452048
51,51,GUI24,28.29692713,-16.46006842,1698.602,979041.23625,0.08891,2024/06/03,978669.787300986,371.4489490139531,129.98451064164823,241.46443837230487
52,52,GUI25,28.29420659,-16.44759952,1446.5934,979091.41975,0.09874,2024/06/03,978747.3149761583,344.1047738416819,107.24356931841396,236.86120452326793
53,53,GUI26,28.29289154,-16.43225012,1119.6539,979160.27651,0.12038,2024/06/03,978848.0749866631,312.20152333693113,80.10067874680601,232.10084459012512
54,54,GUI30,28.31415774,-16.4956996,2228.2115,978942.14984,0.08233,2024/10/07,978507.7570511063,434.392788893776,181.55564729694785,252.83714159682816
