,Unnamed: 0,latitude,longitude,Easting,Northing,Elevation,Gravity,Param_5,Param_6,Relative_Error,Flag,Gravity_mGal,topo_free_disturbance,height_ell,Station ID
159,159,28.24676942,-16.70581347,332650,3125718,2043.98,41476,20,6889,2.2,0,41.476,56.29997908016846,2092.016,GRA_159
160,160,28.25325367,-16.71195037,332058,3126445,1989.16,37562,20,6825,2.2,0,37.562,52.37260338747155,2037.153,GRA_160
161,161,28.25608245,-16.71522652,331741,3126763,1961.92,35862,20,6698,2.2,0,35.862,50.6636697897502,2009.884,GRA_161
162,162,28.26899481,-16.74954062,328395,3128242,1587.98,24176,20,5096,2.2,0,24.176,38.87088360514704,1635.598,GRA_162
163,163,28.24995102,-16.62392175,340690,3125960,2314.96,28221,20,7967,2.2,0,28.221,43.13074934827995,2363.274,GRA_163
164,164,28.25964862,-16.59671096,343374,3126999,2309.99,28199,20,6979,2.2,0,28.199,43.09230729818289,2358.251,GRA_164
165,165,28.27062757,-16.73473564,329850,3128402,1748.19,27765,20,5535,2.2,0,27.765,42.50639567031776,1795.959,GRA_165
166,166,28.26779026,-16.73217192,330097,3128084,1785.82,28425,20,5883,2.2,0,28.425,43.17763410808846,1833.625,GRA_166
167,167,28.26479153,-16.72667012,330632,3127744,1860.76,29440,20,6173,2.2,0,29.44,44.208629960103806,1908.617,GRA_167
168,168,28.27203196,-16.74209788,329130,3128568,1668.15,25341,20,5172,2.2,0,25.341,40.05695936671808,1715.836,GRA_168
169,169,28.26760094,-16.74492068,328846,3128081,1615.25,26429,20,5107,2.2,0,26.429,41.14049008303663,1662.922,GRA_169
170,170,28.27681733,-16.73198157,330130,3129084,1775.92,26383,20,5505,2.2,0,26.383,41.12442742386154,1823.689,GRA_170
171,171,28.24251579,-16.69880569,333331,3125237,2096.35,45812,20,6955,2.2,0,45.812,60.64924216557556,2144.429,GRA_171
172,172,28.21393737,-16.6521386,337867,3122007,2036.29,44579,20,5681,2.2,0,44.579,59.43157112098202,2084.419,GRA_172
173,173,28.29838828,-16.57926128,345142,3131269,2120.63,30537,20,6251,2.2,0,30.537,45.38327020481008,2168.738,GRA_173
174,174,28.29543719,-16.58159346,344909,3130945,2145.24,29641,20,6277,2.2,0,29.641,44.49388480520791,2193.37,GRA_174
175,175,28.29232484,-16.58459608,344610,3130604,2178.54,29513,20,6335,2.2,0,29.513,44.37298552318533,2226.693,GRA_175
176,176,28.28921112,-16.58693578,344376,3130262,2192.17,29534,20,6340,2.2,0,29.534,44.40025575638828,2240.343,GRA_176
177,177,28.28699556,-16.59042039,344031,3130021,2216.11,28734,20,6495,2.2,0,28.734,43.60577720276189,2264.301,GRA_177
178,178,28.28433802,-16.59310304,343764,3129730,2245.84,27671,20,6789,2.2,0,27.671,42.54905454097819,2294.051,GRA_178
179,179,28.28057076,-16.59883769,343196,3129320,2329.97,25576,20,7502,2.2,0,25.576,40.46161844967048,2378.206,GRA_179
180,180,28.27830429,-16.60278997,342805,3129074,2380.82,24041,20,8131,2.2,0,24.041,38.9302619422111,2429.068,GRA_180
181,181,28.27724261,-16.60635238,342454,3128961,2439.91,22724,20,9015,2.2,0,22.724,37.61545226722686,2488.165,GRA_181
182,182,28.2796013,-16.60991519,342108,3129227,2442.48,21981,20,9744,2.2,0,21.981,36.8708907249912,2490.73,GRA_182
183,183,28.27412044,-16.6070803,342378,3128616,2499.83,23329,20,9632,2.2,0,23.329,38.22406718620893,2548.097,GRA_183
184,184,28.27058333,-16.60548791,342529,3128222,2465.51,24245,20,9120,2.2,0,24.245,39.14315233492225,2513.787,GRA_184
185,185,28.26641725,-16.60288725,342778,3127757,2434.17,26351,20,8302,2.2,0,26.351,41.251735002608086,2482.455,GRA_185
186,186,28.24180615,-16.63639462,339454,3125074,2273.38,33892,20,7664,2.2,0,33.892,48.793872329280326,2321.669,GRA_186
187,187,28.24120673,-16.64122623,338979,3125014,2355.16,33365,20,8436,2.2,0,33.365,48.26540189150283,2403.444,GRA_187
188,188,28.23488529,-16.63628899,339454,3124307,2180.57,36628,20,6560,2.2,0,36.628,51.522657760328606,2228.835,GRA_188
189,189,28.23208344,-16.63663347,339416,3123997,2166.19,37472,20,6270,2.2,0,37.472,52.36253557003061,2214.442,GRA_189
190,190,28.17534914,-16.64067798,338934,3117716,1694.63,44510,20,6049,2.2,0,44.51,59.21848176334851,1742.292,GRA_190
191,191,28.16946965,-16.632726,339706,3117054,1624.67,39097,20,5920,2.2,0,39.097,53.77449132591419,1672.232,GRA_191
192,192,28.17237214,-16.62391968,340575,3117364,1678.29,37925,20,5797,2.2,0,37.925,52.60668059377453,1725.865,GRA_192
193,193,28.17518442,-16.62117152,340849,3117672,1685.16,39595,20,6731,2.2,0,39.595,54.2871661065445,1732.769,GRA_193
194,194,28.16969663,-16.61969351,340986,3117062,1673.63,34472,20,5563,2.2,0,34.472,49.13610513041811,1721.148,GRA_194
195,195,28.17435102,-16.61379535,341572,3117570,1744.35,35632,20,5668,2.2,0,35.632,50.31036430003496,1791.914,GRA_195
196,196,28.26997617,-16.64063744,339080,3128201,3547.89,13164,20,31379,2.2,0,13.164,28.063505946959754,3596.171,GRA_196
197,197,28.26984287,-16.64496776,338655,3128192,3503.3,13361,20,29602,2.2,0,13.361,28.258298088410385,3551.574,GRA_197
198,198,28.2685958,-16.64809845,338346,3128058,3397.8,16148,20,25991,2.2,0,16.148,31.04540633753654,3446.074,GRA_198
199,199,28.26635353,-16.65142777,338016,3127814,3292.28,18697,20,23271,2.2,0,18.697,33.59526609893932,3340.557,GRA_199
200,200,28.26578825,-16.6548848,337676,3127756,3191.48,22268,20,20772,2.2,0,22.268,37.16391496491777,3239.749,GRA_200
201,201,28.26205298,-16.66149331,337022,3127351,3054.31,25988,20,17828,2.2,0,25.988,40.88040360289092,3102.568,GRA_201
202,202,28.2565077,-16.67218073,335965,3126751,2885.18,27906,20,17232,2.2,0,27.906,42.7890800502639,2933.408,GRA_202
203,203,28.25350989,-16.67819827,335370,3126427,2639.5,31085,20,13413,2.2,0,31.085,45.96133981145854,2687.706,GRA_203
204,204,28.2506797,-16.68597109,334603,3126124,2355.64,39423,20,9548,2.2,0,39.423,54.289191950962405,2403.813,GRA_204
205,205,28.27981376,-16.61485268,341624,3129257,2567.75,21549,20,12790,2.2,0,21.549,36.43994742804455,2616.003,GRA_205
206,206,28.28337247,-16.61765907,341354,3129655,2575.92,21866,20,13896,2.2,0,21.866,36.75258498352129,2624.159,GRA_206
207,207,28.28751593,-16.62061725,341070,3130118,2535.03,21143,20,14499,2.2,0,21.143,36.01888073057619,2583.234,GRA_207
208,208,28.28957356,-16.62290168,340849,3130349,2499.41,20545,20,14465,2.2,0,20.545,35.41525630850623,2547.596,GRA_208
209,209,28.29244214,-16.61921345,341215,3130662,2300.42,20658,20,10601,2.2,0,20.658,35.522208917090644,2348.587,GRA_209
210,210,28.29477642,-16.61643463,341491,3130917,2240.13,21755,20,9277,2.2,0,21.755,36.61433552782013,2288.281,GRA_210
211,211,28.29761572,-16.61368369,341765,3131228,2177.4,23481,20,8344,2.2,0,23.481,38.333879453039486,2225.53,GRA_211
212,212,28.30057101,-16.60721252,342404,3131547,2108.42,25232,20,7176,2.2,0,25.232,40.07854754951076,2156.529,GRA_212
213,213,28.30040225,-16.60083697,343029,3131520,2117.47,26404,20,6803,2.2,0,26.404,41.252332328692056,2165.585,GRA_213
214,214,28.30022625,-16.5958277,343520,3131494,2136.4,26999,20,6730,2.2,0,26.999,41.84732616662633,2184.515,GRA_214
215,215,28.21681328,-16.62147394,340881,3122285,2225.57,38884,20,7638,2.2,0,38.884,53.73681983726526,2273.7,GRA_215
216,216,28.21353751,-16.6191626,341103,3121919,2420.93,37356,20,10311,2.2,0,37.356,52.19696247328212,2469.021,GRA_216
217,217,28.2105006,-16.61878058,341136,3121582,2326.47,38276,20,9183,2.2,0,38.276,53.10674468753383,2374.528,GRA_217
218,218,28.21427844,-16.61527156,341486,3121996,2544.51,33479,20,13207,2.2,0,33.479,48.31902675712611,2592.598,GRA_218
219,219,28.21678089,-16.61199785,341811,3122269,2718.38,31924,20,18651,2.2,0,31.924,46.76804006883299,2766.481,GRA_219
220,220,28.21134859,-16.61422901,341584,3121670,2604.99,33355,20,14580,2.2,0,33.355,48.18380365044632,2653.042,GRA_220
221,221,28.20755523,-16.61217513,341780,3121247,2528.23,32874,20,13338,2.2,0,32.874,47.68718817186471,2576.231,GRA_221
222,222,28.21649715,-16.60773467,342229,3122232,2612.35,32869,20,14405,2.2,0,32.869,47.70667298319587,2660.431,GRA_222
223,223,28.21767533,-16.60116008,342876,3122354,2393.16,35888,20,9997,2.2,0,35.888,50.72014831172119,2441.223,GRA_223
224,224,28.2927012,-16.73407393,329950,3130847,1663.12,21369,20,5227,2.2,0,21.369,36.073888565133984,1710.77,GRA_224
225,225,28.29467773,-16.73050682,330303,3131061,1684.59,21863,20,5293,2.2,0,21.863,36.57178525610517,1732.253,GRA_225
226,226,28.29007832,-16.7295454,330390,3130550,1724.31,24774,20,5457,2.2,0,24.774,39.49649348855385,1772.017,GRA_226
227,227,28.28687539,-16.72591512,330741,3130190,1777.82,25298,20,5660,2.2,0,25.298,40.03759764130987,1825.583,GRA_227
228,228,28.28504274,-16.72096137,331224,3129980,1830.69,28635,20,5859,2.2,0,28.635,43.39196418642067,1878.509,GRA_228
229,229,28.257669,-16.69730302,333502,3126914,2215.91,37418,20,8160,2.2,0,37.418,52.260497907136426,2264.006,GRA_229
230,230,28.2557626,-16.70038146,333197,3126707,2185.17,37566,20,7873,2.2,0,37.566,52.403521779932085,2233.25,GRA_230
231,231,28.25426636,-16.70385362,332854,3126546,2129.03,37492,20,7705,2.2,0,37.492,52.321718044648456,2177.085,GRA_231
232,232,28.25108812,-16.70542358,332695,3126196,2065.97,40501,20,7159,2.2,0,40.501,55.328115987057615,2114.016,GRA_232
233,233,28.15796024,-16.63746976,339223,3115785,1396.29,33868,100,4487,2.2,0,33.868,48.48745331382869,1443.663,GRA_233
234,234,28.30239113,-16.51513946,351436,3131632,2281.61,18478,100,9214,2.2,0,18.478,33.20919300786694,2329.346,GRA_234
235,235,28.27703307,-16.51327155,351584,3128820,2120.43,19268,100,8194,2.2,0,19.268,33.99180718651205,2168.142,GRA_235
236,236,28.24677294,-16.52936521,349963,3125487,1940.66,18650,100,7201,2.2,0,18.65,33.38110033823706,1988.395,GRA_236
