Linea,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal
Tenerife,947028,28.366666666666667,-16.528333333333332,823.8254,870813,0.05,979242.03
Tenerife,947030,28.366111111111113,-16.534166666666668,841.7808,888901,0.05,979236.26
Tenerife,947031,28.36277777777778,-16.53527777777778,903.2445,950448,0.05,979224.66
Tenerife,947032,28.36138888888889,-16.54361111111111,906.6331,953807,0.05,979223.26
Tenerife,947033,28.360833333333336,-16.551111111111112,874.1241,921314,0.05,979228.42
Tenerife,947035,28.359722222222224,-16.561111111111114,811.5305,858637,0.05,979241.42
Tenerife,947036,28.360833333333336,-16.570833333333333,742.0541,789249,0.05,979255.3
Tenerife,947037,28.3625,-16.571944444444444,694.3042,741498,0.05,979265.28
Tenerife,947038,28.366111111111113,-16.57638888888889,646.4191,693538,0.05,979274.57
Tenerife,947039,28.366666666666667,-16.583055555555557,594.5264,641629,0.05,979283.65
Tenerife,947040,28.369722222222222,-16.579722222222223,540.2625,587310,0.05,979296.45
Tenerife,947042,28.37388888888889,-16.572499999999998,504.0094,550998,0.05,979306.12
Tenerife,947043,28.3775,-16.575277777777778,433.2515,480075,0.05,979320.18
Tenerife,947044,28.3775,-16.579444444444444,399.6373,446,no encontrada,979326.26
Tenerife,10935002,28.053611111111113,-16.67888888888889,111.0242,155960,0.05,979372.15
Tenerife,10935003,28.05388888888889,-16.678611111111113,109.6442,no encontrada,no encontrada,979371.9
Tenerife,10935004,28.05388888888889,-16.678611111111113,109.4228,no encontrada,no encontrada,979371.91
Tenerife,10935005,28.052777777777777,-16.676944444444445,116.5873,no encontrada,no encontrada,979368.07
Tenerife,10935006,28.051666666666666,-16.670833333333334,135.0607,no encontrada,no encontrada,979364.98
Tenerife,10935007,28.051944444444445,-16.66444444444444,162.621,207421,0.05,979358.93
Tenerife,10935008,28.052500000000002,-16.65888888888889,175.5397,no encontrada,no encontrada,979356.6
Tenerife,10935009,28.052777777777777,-16.653333333333332,181.4387,226285,0.05,979355.28
Tenerife,10935010,28.053055555555556,-16.648055555555555,187.443,no encontrada,no encontrada,979353.55
Tenerife,10935011,28.053055555555556,-16.641111111111112,172.0028,no encontrada,no encontrada,979355.51
Tenerife,10935012,28.052500000000002,-16.639166666666664,172.2327,217082,0.05,979355.47
Tenerife,10935013,28.050555555555555,-16.633055555555558,156.2203,no encontrada,no encontrada,979357.23
Tenerife,10935014,28.049722222222226,-16.62611111111111,144.0627,no encontrada,no encontrada,979357.66
